2300002M23RIK	DDR1
A2M	LRP1
AANAT	MTNR1A
AANAT	MTNR1B
ACE2	AGT
ACE2	SLC6A19
ACE2	TIGIT
ACE	BDKRB2
ACKR2	CCL11
ACKR2	CCL12
ACTR2	ACVR1B
ACTR2	ADRB2
ACTR2	LDLR
ACTR2	LRP2
ADAM2	ADAM21
ADAM2	ADAM30
ADAM2	ITGA6
ADAM2	ITGA9
ADAM2	ITGB1
ADAM2	ITGB7
ADAM7	ITGA4
ADAM7	ITGB7
ADAM8	ITGA9
ADAM8	ITGB1
ADAM9	ITGA3
ADAM9	ITGA6
ADAM9	ITGAV
ADAM9	ITGB1
ADAM9	ITGB5
ADAM10	EPHA1
ADAM10	EPHA2
ADAM10	EPHA3
ADAM10	EPHA4
ADAM10	EPHA5
ADAM10	EPHA6
ADAM10	EPHA7
ADAM10	EPHA8
ADAM10	EPHA10
ADAM11	CCR4
ADAM11	ITGA4
ADAM12	ITGA9
ADAM12	ITGB1
ADAM12	SDC4
ADAM15	ITGA5
ADAM15	ITGA9
ADAM15	ITGAV
ADAM15	ITGB1
ADAM15	ITGB3
ADAM17	ITGA5
ADAM17	ITGB1
ADAM17	NOTCH1
ADAM20	ADAM21
ADAM20	ADAM30
ADAM23	ADAM22
ADAM23	CACNG2
ADAM23	CACNG3
ADAM23	CACNG4
ADAM23	CACNG8
ADAM23	ITGA4
ADAM23	ITGA5
ADAM23	ITGB3
ADAM28	ITGA4
ADAM28	ITGB1
ADAM29	ITGA4
ADAMTS3	CCBE1
ADCYAP1	ADCYAP1R1
ADCYAP1	ADRB2
ADCYAP1	ADRB3
ADCYAP1	DPP4
ADCYAP1	GPR20
ADCYAP1	GPR84
ADCYAP1	GSK3B
ADCYAP1	MAPK1
ADCYAP1	MAPK3
ADCYAP1	PTH1R
ADCYAP1	RAMP2
ADCYAP1	RAMP3
ADCYAP1	SCTR
ADCYAP1	TGFB1
ADCYAP1	TSHR
ADCYAP1	VIPR1
ADCYAP1	VIPR2
ADGRB1	RTN4R
ADGRB1	RTN4RL1
ADGRB1	RTN4RL2
ADGRE5	CD55
ADIPOQ	ADIPOR1
ADIPOQ	ADIPOR2
ADIPOQ	ASGR2
ADIPOQ	CNR2
ADIPOQ	CXCL12
ADIPOQ	F3
ADIPOQ	FAS
ADIPOQ	GPR152
ADIPOQ	JAK2
ADIPOQ	LIPE
ADIPOQ	MSR1
ADIPOQ	NOS3
ADIPOQ	PRKAB1
ADIPOQ	PROKR2
ADIPOQ	STAT3
ADIPOQ	TNF
ADIPOQ	WIF1
ADM2	ADCYAP1R1
ADM2	ADRB2
ADM2	ADRB3
ADM2	CALCR
ADM2	CALCRL
ADM2	DCLK3
ADM2	GPR20
ADM2	GPR84
ADM2	PTH1R
ADM2	RAMP1
ADM2	RAMP2
ADM2	RAMP3
ADM2	TSHR
ADM2	VIPR1
ADM	ACKR3
ADM	ADCYAP1R1
ADM	ADRB2
ADM	ADRB3
ADM	CALCR
ADM	CALCRL
ADM	DCLK3
ADM	GPR20
ADM	GPR84
ADM	GPR182
ADM	HMOX1
ADM	MRGPRX2
ADM	NOS1
ADM	PTH1R
ADM	RAMP1
ADM	RAMP2
ADM	RAMP3
ADM	TSHR
ADM	VIPR1
ADORA2A	ADORA1
ADORA2A	ADORA2A
ADORA2A	ADORA2B
ADO	ADORA1
ADO	ADORA2A
ADO	ADORA2B
ADO	ADORA3
ADRB2	VEGFB
AFDN	EPHA7
AFDN	EPHB2
AFDN	EPHB3
AFDN	EPHB6
AFDN	F11R
AFDN	NECTIN1
AFDN	NECTIN2
AFDN	NECTIN3
AFDN	NECTIN4
AFDN	PVR
AGER	CLEC14A
AGER	CSNK2A2
AGER	GSK3B
AGER	KRAS
AGER	MAPK7
AGER	NRAS
AGRN	ATP1A3
AGRN	CHRM1
AGRN	CHRNA1
AGRN	CHRNB1
AGRN	CHRNG
AGRN	DAG1
AGRN	ITGA1
AGRN	ITGA2
AGRN	ITGA3
AGRN	ITGA5
AGRN	ITGA6
AGRN	ITGA7
AGRN	ITGA8
AGRN	ITGA9
AGRN	ITGAV
AGRN	ITGB1
AGRN	LRP4
AGRN	MUSK
AGRP	ATRN
AGRP	MC1R
AGRP	MC3R
AGRP	MC4R
AGRP	MC5R
AGRP	SDC1
AGRP	SDC3
AGT	ABL1
AGT	ADRA2A
AGT	ADRB2
AGT	AGTR1
AGT	AGTR1A
AGT	AGTR2
AGT	CCR3
AGT	CCR5
AGT	CFTR
AGT	CHRM1
AGT	CXCR4
AGT	EDNRA
AGT	EGFR
AGT	FPR1
AGT	GRM7
AGT	HDAC2
AGT	HDAC4
AGT	HDAC5
AGT	HTR2C
AGT	IKBKB
AGT	LRP2
AGT	MAPK7
AGT	MAS1
AGT	MTNR1A
AGT	MTOR
AGT	NOS3
AGT	P2RY2
AGT	PIK3CA
AGT	PIK3R1
AGT	PLCB1
AGT	PLCG1
AGT	PRKCD
AGT	PRKCE
AGT	PRKD1
AGT	PTGER1
AGT	PTK2
AGT	PTK2B
AGT	REN1
AGT	RET
AGT	RPS6KB1
AGT	SGK1
AGT	SLC2A1
AGT	SLC9A1
AGT	SOS1
AGT	SRC
AGT	STAT3
AGT	ULK1
AHSG	BAMBI
AHSG	BMPR1A
AHSG	BMPR1B
AHSG	BMPR2
AHSG	HJV
AHSG	INSR
AHSG	RGMB
AIMP1	NTRK1
ALB	LRP2
ALCAM	CD6
ALCAM	CHL1
ALCAM	L1CAM
ALCAM	NRP1
ALKAL1	ALK
ALKAL1	LTK
ALKAL2	ALK
ALKAL2	LTK
AMBN	CD63
AMELX	CD63
AMELX	LAMP1
AMELX	LAMP2
AMELY	CD63
AMELY	LAMP1
AMELY	LAMP2
AMH	ACVR1
AMH	AMHR2
AMH	BMPR1A
AMH	BMPR1B
AMH	BMPR2
AMH	CYP19A1
AMH	EGFR
AMH	GREM2
ANGPT1	BMX
ANGPT1	FES
ANGPT1	HDAC7
ANGPT1	ITGA5
ANGPT1	ITGB1
ANGPT1	MAP2K4
ANGPT1	MAPK1
ANGPT1	MAPK3
ANGPT1	MAPK8
ANGPT1	MAPK14
ANGPT1	NOS3
ANGPT1	PIK3CA
ANGPT1	PIK3R1
ANGPT1	PLD2
ANGPT1	TEK
ANGPT1	TIE1
ANGPT1	TNF
ANGPT2	CDH5
ANGPT2	PTK2
ANGPT2	TEK
ANGPT2	TIE1
ANGPT4	TEK
ANGPT4	TIE1
ANGPTL1	PIRA1
ANGPTL1	TEK
ANGPTL2	ITGA5
ANGPTL2	ITGB1
ANGPTL2	LILRB2
ANGPTL2	PIRA1
ANGPTL2	TEK
ANGPTL2	TIE1
ANGPTL2	TLR4
ANGPTL3	ITGA5
ANGPTL3	ITGAV
ANGPTL3	ITGB3
ANGPTL3	TEK
ANGPTL4	CDH5
ANGPTL4	CDH11
ANGPTL4	SDC1
ANGPTL4	SDC2
ANGPTL4	SDC3
ANGPTL4	TEK
ANGPTL4	TIE1
ANGPTL6	TEK
ANGPTL7	PIRA1
ANG	EGFR
ANG	PLXNB2
ANOS1	FGFR1
